ID;Fecha_Nacim;Edad;Educacion;Estado_Civil;Ingreso_Anual;Niños;Adolescente;Fecha_ingreso;Dias_Ulti_Comp;Gastos_Vinos;Gastos_Frutas;Gastos_Carne;Gastos_Pescados;Gastos_Dulces;Gastos_Joyas;Cant_Ofertas;Cant_Comp_Web;Cant_catalogo_comp;Cant_Com_Almacen;Num_Visitas_Web
1;1970;52;Secundario;Casado;55158;Un hijo;1;30/7/2012;72;293;0;87;4;11;23;4;7;2;5;7
2;1950;72;Primario;Pareja;52203;Sin hijos;0;31/7/2012;36;488;21;238;56;108;28;1;8;7;11;6
3;1976;46;Universitario;Casado;7500;Un hijo;0;1/8/2012;19;7;0;12;13;7;32;5;4;1;2;9
4;1959;63;Master;Pareja;82576;Sin hijos;0;1/8/2012;66;1206;55;445;168;18;18;1;2;4;12;1
5;1985;37;Primario;Pareja;7500;Un hijo;0;1/8/2012;98;5;17;17;13;14;34;4;2;1;3;9
6;1957;65;Universitario;Casado;73803;Sin hijos;1;1/8/2012;61;833;80;363;52;26;174;2;9;5;6;6
7;1976;46;Primario;Pareja;75484;Sin hijos;1;2/8/2012;50;378;97;259;197;194;34;2;7;3;6;4
8;1963;59;Primario;Casado;32632;Sin hijos;0;2/8/2012;32;63;151;137;153;19;53;2;4;4;8;5
9;1947;75;Universitario;Casado;27469;Sin hijos;0;2/8/2012;2;9;1;2;3;2;0;1;0;0;3;6
10;1955;67;Universitario;Divorciado;49431;Sin hijos;1;3/8/2012;9;219;3;100;26;0;17;2;7;1;5;8
11;1965;57;Primario;Divorciado;64176;Sin hijos;1;3/8/2012;52;1215;33;249;64;116;149;8;8;9;8;6
12;1955;67;Primario;Casado;62972;Sin hijos;1;3/8/2012;39;313;15;47;20;0;192;2;7;4;3;6
13;1955;67;Primario;Casado;62972;Sin hijos;1;3/8/2012;39;313;15;47;20;0;192;2;7;4;3;6
14;1956;66;Primario;Casado;53230;Sin hijos;1;3/8/2012;86;176;72;98;136;21;229;4;5;2;12;5
15;1981;41;Secundario;Pareja;56937;Un hijo;0;4/8/2012;81;746;8;125;11;8;8;7;8;6;9;6
16;1982;40;Secundario;Casado;160803;Sin hijos;0;4/8/2012;21;55;16;1622;17;3;4;15;0;28;1;0
